7mate,7mat,7mate.free.au,
ONE,ONE,one.free.au,
NITV,NITV,nitv.free.au,
44Adelaide,44Ad,44adelaide.free.au,
SBS TWO,SBS ,sbstwo.free.au,
ABC3,ABC3,abc3.free.au,true
GEM,GEM,gem.free.au,
ABC2 / ABC4,ABC2,abc2.free.au,true
4ME,4ME,4me.free.au,
7TWO,7TWO,7two.free.au,
Nine,Nine,nine.free.au,
ABC News 24,ABC ,abcnews24.free.au,
SBS ONE,SBS ,sbsone.free.au,
Seven,Seve,seven.free.au,
SBS HD,SBS ,sbshd.free.au,
ABC1,ABC1,abc1.free.au,
ELEVEN,ELEV,eleven.free.au,
GO!,GO!,go!.free.au,
TVSN,TVSN,tvsn.free.au,
TEN,TEN,ten.free.au,
DiscoveryChannel2,Disc,discoverychannel2.paytv.au,
PremiereHD,Prem,premierehd.paytv.au,
Thriller/CrimeHD,Thri,thrillerhd.paytv.au,
Showcase,Show,showcase.paytv.au,true
NatGeoHD,NatG,natgeohd.paytv.au,
111HITS2,111H,111hits2.paytv.au,true
FOX82,FOX8,fox82.paytv.au,
BBCKnowledgeHD,BBCK,bbcknowledgehd.paytv.au,
Thriller/Crime,Thri,thriller.paytv.au,
SoHo2,SoHo,soho2.paytv.au,true
SPEEDHD,SPEE,speedhd.paytv.au,
APAC,APAC,apac.paytv.au,
SkyRacing1,SkyR,skyracing1.paytv.au,
ComedyChannel,Come,comedychannel.paytv.au,true
NatGeoWild,NatG,natgeowild.paytv.au,
FX2,FX2,fx2.paytv.au,
Showcase2,Show,showcase2.paytv.au,true
Ovation,Ovat,ovation.paytv.au,
NatGeoAdventure,NatG,natgeoadventure.paytv.au,
CartoonNetwork,Cart,cartoonnetwork.paytv.au,true
KidsCo,Kids,kidsco.paytv.au,
FX,FX,fx.paytv.au,
ARENA2,AREN,arena2.paytv.au,
FOX FOOTY HD,FOX ,foxfootyhd.paytv.au,
FOXClassics2,FOXC,foxclassics2.paytv.au,true
LifeStyleHOME,Life,lifestylehome.paytv.au,true
ShowcaseHD,Show,showcasehd.paytv.au,true
ARENA,AREN,arena.paytv.au,
Foxtel3DChannel,Foxt,foxtel3dchannel.paytv.au,
LifeStyleYOU2,Life,lifestyleyou2.paytv.au,
STUDIO,STUD,studio.paytv.au,
MainEvent,Main,mainevent.paytv.au,
AlJazeeraEnglish,AlJa,aljazeeraenglish.paytv.au,
Action/Adventure,Acti,action.paytv.au,
ChannelV,Chan,channelv.paytv.au,
Family,Fami,family.paytv.au,true
