"VFL","AFL",10
"PGA","Golf",10
"Footy","AFL",10
"SANFL","AFL",10
"ATP","Tennis",10
"EPL","Soccer",10
"SPL","Soccer",10
"WTA","Tennis",10
"FIFA","Soccer",10
"IPL","Cricket",10
"ODI","Cricket",10
"T20","Cricket",10
"TAC Cup","AFL",10
"UEFA","Soccer",10
"Bike","Cycling",10
"Fins","Surfing",10
"Fish","Fishing",10
"Horse","Racing",10
"MLB","Baseball",10
"Surf","Surfing",10
"UFC","Fighting",10
"WWE","Fighting",10
"FA Cup","Soccer",10
"Angler","Fishing",10
"Fight","Fighting",10
"Fishin","Fishing",10
"Foxtel Cup","AFL",10
"Ligue 1","Soccer",10
"NBA","Basketball",10
"NBL","Basketball",10
"NHL","Ice Hockey",10
"Pro Box","Boxing",10
"Raceday","Racing",10
"Serie A","Soccer",10
"A-League","Soccer",10
"Euro Cup","Soccer",10
"F1","Motor Sports",10
"FIVB","Volleyball",10
"IRB","Rugby Union",10
"J-League","Soccer",10
"Karate","Fighting",10
"NCAA","Basketball",10
"One Day","Cricket",10
"Pool","Cue Sports",10
"RWC","Rugby Union",10
"V8","Motor Sports",10
"W-League","Soccer",10
"4WD","Motor Sports",10
"Big Bash","Cricket",10
"Bowls","Lawn Bowls",10
"Cox Plate","Racing",10
"Davis Cup","Tennis",10
"Euro 2012","Soccer",10
"GT1","Motor Sports",10
"NRL","Rugby League",10
"Racenight","Racing",10
"Rip Curl","Surfing",10
"Trackside","Racing",10
"Trackwork","Racing",10
"Twenty20","Cricket",10
"Wimbledon","Tennis",10
"WRC","Motor Sports",10
"Arsenal TV","Soccer",10
"Billabong","Surfing",10
"Bundesliga","Soccer",10
"Chelsea TV","Soccer",10
"EllisMania","Boxing",10
"Eredivisie","Soccer",10
"Ironman","Triathlon",10
"Kart","Motor Sports",10
"Moto","Motor Sports",10
"NHRA","Motor Sports",10
"Right Odds","Racing",10
"WTCC","Motor Sports",10
"ANDRA","Motor Sports",10
"Bred to Win","Racing",10
"Carling Cup","Soccer",10
"French Open","Tennis",10
"Natsiba","Basketball",10
"Shui on China","Golf",10
"Snooker","Cue Sports",10
"Wrestling","Fighting",10
"Champions Tour","Golf",10
"Copa America","Soccer",10
"Emirates Cup","Soccer",10
"ITM Cup","Rugby Union",10
"JBWere Masters","Golf",10
"Liverpool TV","Soccer",10
"MotoGP","Motor Sports",10
"NASCAR","Motor Sports",10
"Presidents Cup","Golf",10
"Punting Club","Racing",10
"Spanish Liga","Soccer",10
"Total Trials","Racing",10
"Auto GP","Motor Sports",10
"Billiards","Cue Sports",10
"Black Bookers","Racing",10
"Indycar","Motor Sports",10
"Karting","Motor Sports",10
"Le Mans","Motor Sports",10
"M1 Selections","Boxing",10
"Melbourne Cup","Racing",10
"Moto GP","Motor Sports",10
"Nationwide Tour","Golf",10
"Superkombat","Fighting",10
"Thoroughbreds","Racing",10
"6 Nations","Rugby Union",10
"Barrier Trials","Racing",10
"Bledisloe","Rugby Union",10
"DTM 2011","Motor Sports",10
"Inside Running","Racing",10
"Martial Arts","Fighting",10
"NFL","American Football",10
"Premier League","Soccer",10
"Pro Bull Riding","Rodeo",10
"Speedway","Motor Sports",10
"The Early Mail","Racing",10
"The Grid","Motor Sports",10
"ASP World Tour","Surfing",10
"Champions Classic","Golf",10
"Currie Cup","Rugby Union",10
"Formula 1","Motor Sports",10
"Ping Pong","Table Tennis",10
"Speedweek","Motor Sports",10
"Spring Classics","Racing",10
"Superbike","Motor Sports",10
"Supercars","Motor Sports",10
"Supermoto","Motor Sports",10
"Tour de France","Cycling",10
"Big Bash League","Cricket",10
"International Rules","AFL",10
"Moto Cross","Motor Sports",10
"Motorsport","Motor Sports",10
"Primera Division","Soccer",10
"Shanghai Masters","Tennis",10
"Six Nations","Rugby Union",10
"Sports Car","Motor Sports",10
"Sprintcars","Motor Sports",10
"Super Rugby","Rugby Union",10
"The Catching Pen","Racing",10
"Total Rugby","Rugby Union",10
"Tour of Beijing","Cycling",10
"Toyota Cup","Rugby League",10
"Tri Nations","Rugby Union",10
"Argentine Primera","Soccer",10
"Carrera Cup","Motor Sports",10
"College Hoops","Basketball",10
"Copa Sudamericana","Soccer",10
"Dakar Rally","Motor Sports",10
"Formula One","Motor Sports",10
"Formula Two","Motor Sports",10
"Heineken Cup","Rugby Union",10
"Monster Jam","Motor Sports",10
"Stankovic Cup","Basketball",10
"Tour of Lombardy","Cycling",10
"Touring Car","Motor Sports",10
"Danone Nations Cup","Soccer",10
"European Qualifier","Soccer",10
"Formula Ford","Motor Sports",10
"Four Nations","Rugby League",10
"French Top 14","Rugby Union",10
"La Giostra dei gol","Soccer",10
"Ladies European Tour","Golf",10
"Australian GT","Motor Sports",10
"Blue Square Premier","Soccer",10
"Formula Drift","Motor Sports",10
"League Championship","Soccer",10
"Margaret River Pro","Surfing",10
"Protathlima Elladas","Soccer",10
"Protathlima Ellados","Soccer",10
"Race to Dakar","Motor Sports",10
"Scottish League Cup","Soccer",10
"World Cup Qualifier","Soccer",10
"AFC Champions League","Soccer",10
"Amlin Challenge","Rugby Union",10
"Anglo-Welsh Cup","Rugby Union",10
"Chequered Flag","Motor Sports",10
"Fujitsu Series","Motor Sports",10
"Rugby World Cup","Rugby Union",10
"World Cup Indoors","Lawn Bowls",10
"Aviva Premiership","Rugby Union",10
"Brisbane International","Tennis",10
"Island of Origin","Rugby League",10
"PSA World Super Series","Squash",10
"RaboDirect Pro 12","Rugby Union",10
"World Series Classics","Cricket",10
