"AFL","AFL",20
"American Football","American Football",20
"Baseball","Baseball",20
"Basketball","Basketball",20
"Boxing","Boxing",20
"Cricket","Cricket",20
"Cue Sports","Cue Sports",20
"Cycling","Cycling",20
"Darts","Darts",20
"Field Hockey","Field Hockey",20
"Fighting","Fighting",20
"Fishing","Fishing",20
"Golf","Golf",20
"Ice Hockey","Ice Hockey",20
"Lawn Bowls","Lawn Bowls",20
"Motor Sports","Motor Sports",20
"Netball","Netball",20
"Poker","Poker",20
"Racing","Racing",20
"Rodeo","Rodeo",20
"Rugby League","Rugby League",20
"Rugby Union","Rugby Union",20
"Soccer","Soccer",20
"Squash","Squash",20
"Surfing","Surfing",20
"Table Tennis","Table Tennis",20
"Tennis","Tennis",20
"Triathlon","Triathlon",20
"Volleyball","Volleyball",20
